                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.36466,                 0.7826,                 1.0324,                0.75438,                0.74876,                0.79294,                0.73492,                0.37861,                0.90186,                 1.0313,               0.006535,               0.006535,               0.006535
                     37,                0.36708,                 0.7646,                  1.037,                0.68841,                0.78717,                0.79205,                0.74425,                  0.356,                0.86709,                 1.0087,               0.006436,               0.006436,               0.006436
                     38,                0.36047,                0.75156,                 1.0311,                0.74746,                0.73026,                0.79111,                0.73742,                0.36224,                0.82387,                 1.0208,               0.006337,               0.006337,               0.006337
                     39,                0.35685,                0.73395,                 1.0293,                0.75984,                0.73937,                0.78817,                0.74352,                0.33891,                0.84976,                0.99437,               0.006238,               0.006238,               0.006238
                     40,                0.35744,                0.72794,                 1.0283,                 0.7703,                0.75552,                0.81166,                0.75341,                0.36817,                0.82386,                 1.0324,               0.006139,               0.006139,               0.006139
                     41,                0.34639,                0.71179,                 1.0209,                 0.7248,                0.77482,                0.79331,                0.73765,                0.36272,                0.86326,                 1.0214,                0.00604,                0.00604,                0.00604
                     42,                 0.3465,                0.70584,                 1.0228,                0.77468,                0.71633,                0.78838,                0.73505,                0.36888,                0.92766,                 1.0225,               0.005941,               0.005941,               0.005941
                     43,                0.34324,                0.69767,                 1.0194,                0.72792,                0.77645,                 0.8039,                0.75967,                0.33013,                0.84358,                0.99281,               0.005842,               0.005842,               0.005842
                     44,                0.34183,                0.67435,                 1.0189,                 0.7756,                0.70924,                0.77583,                0.73448,                 0.3412,                0.90788,                 1.0042,               0.005743,               0.005743,               0.005743
                     45,                0.33506,                0.66865,                 1.0117,                0.78352,                0.71514,                0.79881,                0.75872,                0.32562,                0.85704,                0.98677,               0.005644,               0.005644,               0.005644
                     46,                0.32998,                0.65581,                 1.0094,                0.77108,                0.73361,                0.79002,                0.74804,                0.33376,                0.89205,                0.98642,               0.005545,               0.005545,               0.005545
                     47,                0.33069,                0.65421,                 1.0125,                0.78844,                0.74419,                0.79149,                0.74286,                0.34252,                0.86288,                 1.0031,               0.005446,               0.005446,               0.005446
                     48,                0.33014,                0.65372,                  1.013,                0.72798,                0.76902,                0.77953,                0.73976,                0.33679,                0.88268,                0.98953,               0.005347,               0.005347,               0.005347
                     49,                0.32581,                0.63402,                 1.0083,                0.74118,                0.77371,                0.77894,                0.73488,                0.35684,                0.89796,                 1.0098,               0.005248,               0.005248,               0.005248
                     50,                0.32369,                0.62306,                 1.0104,                0.70557,                0.80843,                0.79764,                0.75601,                0.33684,                0.83969,                0.99187,               0.005149,               0.005149,               0.005149
                     51,                0.32193,                0.61836,                 1.0054,                0.75264,                0.77274,                0.79263,                0.75251,                0.31438,                0.82459,                0.97024,                0.00505,                0.00505,                0.00505
                     52,                0.31643,                0.60783,                 1.0061,                0.76979,                0.72346,                0.78939,                0.74117,                0.34182,                0.88374,                 1.0077,               0.004951,               0.004951,               0.004951
